date,tempC,tempF,humid,heatindex
20130519,16.5,61.8,81.5,16.54
20130520,14.6,58.3,76.8,14.6
20130521,17.4,63.3,46.5,17.4
20130522,19.5,67,46.5,19.47
20130523,22,71.6,59.5,22
20130524,21.2,70.2,59.8,21.24
20130525,24.3,75.7,50.9,24.3
20130526,24,75.1,45.2,23.96
20130527,20,68.1,77.7,20.03
20130528,18.9,66,89.5,18.91
20130529,16.3,61.3,87.9,16.3
20130530,19,66.2,59.5,19
20130531,20.9,69.7,47.7,20.95
20130601,21.9,71.5,43.4,21.95
20130602,23.3,73.9,50.9,23.25
20130603,21.8,71.2,56.8,21.77
20130604,22.5,72.5,55.9,22.49
20130605,24.6,76.3,50.8,24.61
20130606,25,77,55.5,25.03
20130607,25.6,78.1,53,25.59
20130608,26.2,79.1,47.8,26.15
20130609,27.3,81.2,39,27.07
20130610,27.4,81.3,35.5,26.94
20130611,24.2,75.5,53.1,24.18
20130612,20.6,69,86.5,20.56
20130613,22.8,73.1,70.1,22.82
20130614,24.6,76.3,63.2,24.64
20130615,24.7,76.5,58.2,24.72
20130616,22.6,72.6,70.1,22.58
20130617,22.3,72.2,75.3,22.33
20130618,21.7,71,89.8,21.66
20130619,24.3,75.7,73.8,24.27
